season,competition,event,instance_of_event_in_competition,gender,round,race,Place,Start Pos.,Warn.,Relay Team,#,Name,ISU ID,ISU Member,Results,Qual.,Points,laps_of_split_data,lap_1_position,lap_1_laptime,lap_1_elapsedtime,lap_2_position,lap_2_laptime,lap_2_elapsedtime,lap_3_position,lap_3_laptime,lap_3_elapsedtime,lap_4_position,lap_4_laptime,lap_4_elapsedtime,lap_5_position,lap_5_laptime,lap_5_elapsedtime,lap_6_position,lap_6_laptime,lap_6_elapsedtime,lap_7_position,lap_7_laptime,lap_7_elapsedtime,lap_8_position,lap_8_laptime,lap_8_elapsedtime,lap_9_position,lap_9_laptime,lap_9_elapsedtime,lap_10_position,lap_10_laptime,lap_10_elapsedtime,lap_11_position,lap_11_laptime,lap_11_elapsedtime,lap_12_position,lap_12_laptime,lap_12_elapsedtime,lap_13_position,lap_13_laptime,lap_13_elapsedtime,lap_14_position,lap_14_laptime,lap_14_elapsedtime,lap_15_position,lap_15_laptime,lap_15_elapsedtime,lap_16_position,lap_16_laptime,lap_16_elapsedtime,lap_17_position,lap_17_laptime,lap_17_elapsedtime,lap_18_position,lap_18_laptime,lap_18_elapsedtime,lap_19_position,lap_19_laptime,lap_19_elapsedtime,lap_20_position,lap_20_laptime,lap_20_elapsedtime,lap_21_position,lap_21_laptime,lap_21_elapsedtime,lap_22_position,lap_22_laptime,lap_22_elapsedtime,lap_23_position,lap_23_laptime,lap_23_elapsedtime,lap_24_position,lap_24_laptime,lap_24_elapsedtime,lap_25_position,lap_25_laptime,lap_25_elapsedtime,lap_26_position,lap_26_laptime,lap_26_elapsedtime,lap_27_position,lap_27_laptime,lap_27_elapsedtime,lap_28_position,lap_28_laptime,lap_28_elapsedtime,lap_29_position,lap_29_laptime,lap_29_elapsedtime,lap_30_position,lap_30_laptime,lap_30_elapsedtime,lap_31_position,lap_31_laptime,lap_31_elapsedtime,lap_32_position,lap_32_laptime,lap_32_elapsedtime,lap_33_position,lap_33_laptime,lap_33_elapsedtime,lap_34_position,lap_34_laptime,lap_34_elapsedtime,lap_35_position,lap_35_laptime,lap_35_elapsedtime,lap_36_position,lap_36_laptime,lap_36_elapsedtime,lap_37_position,lap_37_laptime,lap_37_elapsedtime,lap_38_position,lap_38_laptime,lap_38_elapsedtime,lap_39_position,lap_39_laptime,lap_39_elapsedtime,lap_40_position,lap_40_laptime,lap_40_elapsedtime,lap_41_position,lap_41_laptime,lap_41_elapsedtime,lap_42_position,lap_42_laptime,lap_42_elapsedtime,lap_43_position,lap_43_laptime,lap_43_elapsedtime,lap_44_position,lap_44_laptime,lap_44_elapsedtime,lap_45_position,lap_45_laptime,lap_45_elapsedtime
2012-2013,"ISU World Cup 2012/2013, Shanghai (CHN)",500m,-1,m,Preliminaries,9,2,2,,,164.0,KNEGTSjinkie,7352,NED,"
						42.500 
					",Q,,5.0,3.0,7.09,7.09,2.0,9.11,16.20,2.0,8.67,24.87,2.0,8.69,33.56,2.0,8.94,42.500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012-2013,"ISU World Cup 2012/2013, Shanghai (CHN)",1000m,1,m,Heats,1,1,1,,,158.0,KWAKYoon-Gy,6120,KOR,"
						1:27.106 
					",Q,,9.0,3.0,13.23,13.23,2.0,10.28,23.51,2.0,9.62,33.13,2.0,9.53,42.66,2.0,9.26,51.92,2.0,8.86,1:00.78,1.0,8.70,1:09.48,1.0,8.73,1:18.21,1.0,8.90,1:27.106,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012-2013,"ISU World Cup 2012/2013, Shanghai (CHN)",1000m,1,m,Heats,2,1,4,,,164.0,KNEGTSjinkie,7352,NED,"
						1:28.677 
					",Q,,9.0,3.0,13.15,13.15,3.0,10.69,23.84,3.0,10.31,34.15,4.0,9.82,43.97,3.0,9.35,53.32,2.0,8.85,1:02.17,2.0,8.62,1:10.79,2.0,8.82,1:19.61,1.0,9.07,1:28.677,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012-2013,"ISU World Cup 2012/2013, Shanghai (CHN)",1000m,1,m,Heats,5,1,1,,,111.0,FrancoisHAMELIN,6167,CAN,"
						1:29.026 
					",Q,,9.0,1.0,13.36,13.36,3.0,10.36,23.72,3.0,9.80,33.52,2.0,9.29,42.81,2.0,9.31,52.12,2.0,9.43,1:01.55,1.0,9.01,1:10.56,1.0,9.05,1:19.61,1.0,9.42,1:29.026,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012-2013,"ISU World Cup 2012/2013, Shanghai (CHN)",1000m,1,m,Semifinals,1,2,3,,,158.0,KWAKYoon-Gy,6120,KOR,"
						1:25.880 
					",QA,,9.0,3.0,12.61,12.61,3.0,9.40,22.01,3.0,9.35,31.36,3.0,9.24,40.60,3.0,9.14,49.74,2.0,8.77,58.51,2.0,8.92,1:07.43,2.0,9.01,1:16.44,2.0,9.44,1:25.880,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012-2013,"ISU World Cup 2012/2013, Shanghai (CHN)",1000m,1,m,Semifinals,2,4,4,,,164.0,KNEGTSjinkie,7352,NED,"
						1:28.126 
					",QB,,9.0,3.0,12.71,12.71,4.0,9.91,22.62,4.0,9.23,31.85,4.0,9.17,41.02,4.0,9.23,50.25,4.0,9.17,59.42,4.0,9.26,1:08.68,4.0,9.43,1:18.11,4.0,10.02,1:28.126,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012-2013,"ISU World Cup 2012/2013, Shanghai (CHN)",1000m,1,m,Quarterfinals,1,2,2,,,164.0,KNEGTSjinkie,7352,NED,"
						1:27.481 
					",Q,,9.0,3.0,12.90,12.90,2.0,9.75,22.65,2.0,9.71,32.36,2.0,9.58,41.94,2.0,9.25,51.19,2.0,9.07,1:00.26,2.0,8.98,1:09.24,2.0,8.99,1:18.23,2.0,9.25,1:27.481,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012-2013,"ISU World Cup 2012/2013, Shanghai (CHN)",1000m,1,m,Quarterfinals,1,PEN,4,,,111.0,FrancoisHAMELIN,6167,CAN,"
						PEN
					",,,9.0,4.0,13.04,13.04,3.0,9.69,22.73,3.0,9.74,32.47,3.0,9.59,42.06,3.0,9.25,51.31,3.0,9.05,1:00.36,3.0,8.97,1:09.33,3.0,8.93,1:18.26,,,PEN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012-2013,"ISU World Cup 2012/2013, Shanghai (CHN)",1000m,1,m,Quarterfinals,2,1,3,,,158.0,KWAKYoon-Gy,6120,KOR,"
						1:26.990 
					",Q,,9.0,4.0,13.43,13.43,3.0,9.68,23.11,1.0,9.20,32.31,1.0,9.34,41.65,1.0,9.31,50.96,1.0,9.05,1:00.01,1.0,9.02,1:09.03,1.0,8.91,1:17.94,1.0,9.05,1:26.990,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012-2013,"ISU World Cup 2012/2013, Sochi (RUS)",500m,2,w,Semifinals,2,1,3,,,33.0,AriannaFONTANA,6227,ITA,"
						44.186 
					",QA,,5.0,2.0,7.25,7.25,1.0,9.47,16.72,1.0,8.99,25.71,1.0,9.07,34.78,1.0,9.41,44.186,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012-2013,"ISU World Cup 2012/2013, Sochi (RUS)",1000m,-1,w,Preliminaries,6,2,4,,,9.0,Marie-EveDROLET,6059,CAN,"
						1:34.175 
					",Q,,9.0,1.0,13.51,13.51,1.0,10.85,24.36,1.0,10.48,34.84,1.0,10.28,45.12,1.0,9.85,54.97,1.0,9.72,1:04.69,1.0,9.71,1:14.40,2.0,9.83,1:24.23,2.0,9.95,1:34.175,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012-2013,"ISU World Cup 2012/2013, Shanghai (CHN)",1500m,-1,w,Heats,1,2,4,,,29.0,AriannaFONTANA,6227,ITA,"
						2:30.784 
					",Q,,14.0,4.0,9.47,9.47,4.0,13.46,22.93,3.0,13.09,36.02,1.0,12.14,48.16,1.0,11.75,59.91,1.0,11.73,1:11.64,3.0,10.47,1:22.11,4.0,10.02,1:32.13,4.0,9.71,1:41.84,4.0,9.68,1:51.52,4.0,9.85,2:01.37,4.0,9.74,2:11.11,2.0,9.69,2:20.80,2.0,9.99,2:30.784,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012-2013,"ISU World Cup 2012/2013, Shanghai (CHN)",1500m,-1,w,Heats,2,2,4,,,7.0,Marie-EveDROLET,6059,CAN,"
						2:41.580 
					",Q,,14.0,2.0,11.23,11.23,4.0,17.92,29.15,4.0,14.1,43.25,3.0,13.28,56.53,1.0,12.5,1:09.03,2.0,11.54,1:20.57,4.0,11.25,1:31.82,4.0,10.34,1:42.16,4.0,10.52,1:52.68,4.0,10.13,2:02.81,3.0,9.78,2:12.59,1.0,9.33,2:21.92,1.0,9.67,2:31.59,2.0,9.99,2:41.580,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012-2013,"ISU World Cup 2012/2013, Shanghai (CHN)",1500m,-1,w,Semifinals,1,2,5,,,7.0,Marie-EveDROLET,6059,CAN,"
						2:27.740 
					",QA,,14.0,3.0,10.02,10.02,4.0,14.62,24.64,5.0,12.19,36.83,6.0,11.24,48.07,6.0,10.05,58.12,6.0,10.33,1:08.45,6.0,10.04,1:18.49,6.0,10.43,1:28.92,6.0,10.05,1:38.97,5.0,9.51,1:48.48,5.0,9.85,1:58.33,3.0,9.66,2:07.99,3.0,9.78,2:17.77,2.0,9.97,2:27.740,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012-2013,"ISU World Cup 2012/2013, Shanghai (CHN)",1500m,-1,w,Semifinals,2,7,3,,,29.0,AriannaFONTANA,6227,ITA,"
						2:47.768 
					",,,14.0,3.0,8.79,8.79,2.0,11.16,19.95,4.0,10.44,30.39,4.0,10.31,40.70,5.0,10.28,50.98,5.0,9.77,1:00.75,5.0,9.64,1:10.39,5.0,9.70,1:20.09,6.0,10.19,1:30.28,6.0,10.01,1:40.29,5.0,10.05,1:50.34,3.0,9.87,2:00.21,3.0,10.17,2:10.38,7.0,37.39,2:47.768,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-2014,Sochi 2014 Olympic Winter Games,1500m,-1,m,Heats,1,3,6,,,248.0,KNEGTSjinkie,7352,NED,"
						2:14.249 
					",Q,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-2014,Sochi 2014 Olympic Winter Games,1500m,-1,m,Heats,5,2,1,,,206.0,FrancoisHAMELIN,6167,CAN,"
						2:13.935 
					",Q,,14.0,2.0,8.35,8.35,3.0,11.78,20.13,5.0,10.35,30.48,4.0,10.15,40.63,5.0,10.02,50.65,5.0,9.37,1:00.02,1.0,8.86,1:08.88,1.0,9.14,1:18.02,1.0,9.16,1:27.18,1.0,9.22,1:36.40,1.0,9.25,1:45.65,1.0,9.28,1:54.93,1.0,9.40,2:04.33,2.0,9.61,2:13.935,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-2014,"ISU World Cup 2013/2014, Shanghai (CHN)",1500m,-1,w,Semifinals,2,2,2,,,41.0,AriannaFONTANA,6227,ITA,"
						2:19.614 
					",QA,,14.0,2.0,8.66,8.66,2.0,12.17,20.83,4.0,10.30,31.13,4.0,10.25,41.38,4.0,10.47,51.85,4.0,9.89,1:01.74,4.0,9.90,1:11.64,4.0,10.13,1:21.77,3.0,9.94,1:31.71,3.0,9.62,1:41.33,2.0,9.40,1:50.73,2.0,9.63,2:00.36,2.0,9.59,2:09.95,2.0,9.67,2:19.614,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-2014,"ISU World Cup 2013/2014, Shanghai (CHN)",1500m,-1,w,Quarterfinals,1,1,4,,,41.0,AriannaFONTANA,6227,ITA,"
						2:23.016 
					",Q,,14.0,3.0,9.03,9.03,3.0,12.41,21.44,3.0,11.57,33.01,3.0,11.24,44.25,3.0,11.22,55.47,3.0,10.94,1:06.41,3.0,9.91,1:16.32,1.0,9.43,1:25.75,2.0,9.31,1:35.06,2.0,9.46,1:44.52,2.0,9.54,1:54.06,2.0,9.63,2:03.69,1.0,9.56,2:13.25,1.0,9.77,2:23.016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-2014,"ISU World Cup 2013/2014, Shanghai (CHN)",1000m,-1,w,Preliminaries,4,1,2,,,41.0,AriannaFONTANA,6227,ITA,"
						1:34.536 
					",Q,,9.0,3.0,13.88,13.88,1.0,10.59,24.47,1.0,10.24,34.71,1.0,10.07,44.78,1.0,10.25,55.03,1.0,10.09,1:05.12,1.0,9.88,1:15.00,1.0,9.80,1:24.80,1.0,9.74,1:34.536,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-2014,"ISU World Cup 2013/2014, Shanghai (CHN)",1500m,-1,w,Heats,4,2,1,,,41.0,AriannaFONTANA,6227,ITA,"
						2:41.578 
					",Q,,14.0,1.0,11.59,11.59,2.0,17.31,28.90,2.0,13.68,42.58,2.0,13.32,55.90,2.0,12.50,1:08.40,2.0,11.58,1:19.98,2.0,10.90,1:30.88,1.0,10.19,1:41.07,1.0,10.57,1:51.64,1.0,10.55,2:02.19,1.0,10.46,2:12.65,2.0,9.64,2:22.29,2.0,9.46,2:31.75,2.0,9.83,2:41.578,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012-2013,"2013 ISU European Championships, Malmo (SWE)",500m,-1,m,Preliminaries,9,1,1,,,41.0,KNEGTSjinkie,7352,NED,"
						42.358 
					",Q,,5.0,1.0,7.00,7.00,1.0,9.20,16.20,1.0,8.65,24.85,1.0,8.71,33.56,1.0,8.80,42.358,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012-2013,"2013 ISU European Championships, Malmo (SWE)",500m,-1,m,Heats,3,1,2,,,41.0,KNEGTSjinkie,7352,NED,"
						42.314 
					",Q,,5.0,2.0,7.02,7.02,3.0,9.17,16.19,3.0,8.68,24.87,2.0,8.66,33.53,1.0,8.79,42.314,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012-2013,"2013 ISU European Championships, Malmo (SWE)",500m,-1,m,Quarterfinals,2,1,4,,,41.0,KNEGTSjinkie,7352,NED,"
						43.500 
					",Q,,5.0,3.0,7.04,7.04,2.0,8.9,15.94,2.0,8.39,24.33,1.0,9.51,33.84,1.0,9.66,43.500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012-2013,"2013 ISU European Championships, Malmo (SWE)",1500m,-1,m,Heats,4,1,2,,,41.0,KNEGTSjinkie,7352,NED,"
						2:29.354 
					",Q,,14.0,6.0,9.84,9.84,6.0,13.53,23.37,6.0,12.74,36.11,6.0,11.95,48.06,6.0,11.82,59.88,6.0,11.59,1:11.47,4.0,10.48,1:21.95,4.0,10.24,1:32.19,4.0,10.52,1:42.71,4.0,9.95,1:52.66,3.0,9.52,2:02.18,3.0,9.28,2:11.46,3.0,8.98,2:20.44,1.0,8.92,2:29.354,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012-2013,"2013 ISU European Championships, Malmo (SWE)",1500m,-1,m,Semifinals,2,1,4,,,41.0,KNEGTSjinkie,7352,NED,"
						2:18.474 
					",Q,,14.0,3.0,7.95,7.95,3.0,11.57,19.52,4.0,10.4,29.92,4.0,10.57,40.49,4.0,10.8,51.29,4.0,10.87,1:02.16,4.0,10.36,1:12.52,4.0,9.77,1:22.29,2.0,9.45,1:31.74,2.0,9.62,1:41.36,2.0,9.23,1:50.59,3.0,9.29,1:59.88,2.0,9.32,2:09.20,1.0,9.28,2:18.474,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-2014,"ISU World Cup 2013/2014, Kolomna (RUS)",1000m,-1,m,Preliminaries,10,2,3,,,199.0,KNEGTSjinkie,7352,NED,"
						1:28.415 
					",Q,,9.0,4.0,13.58,13.58,4.0,10.13,23.71,4.0,9.76,33.47,4.0,9.84,43.31,4.0,9.54,52.85,3.0,9.03,1:01.88,3.0,8.92,1:10.80,2.0,8.80,1:19.60,2.0,8.82,1:28.415,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-2014,"ISU World Cup 2013/2014, Kolomna (RUS)",1000m,-1,m,Pre-Preliminaries,20,1,3,,,199.0,KNEGTSjinkie,7352,NED,"
						1:34.090 
					",Q,,9.0,2.0,15.34,15.34,2.0,11.09,26.43,2.0,10.44,36.87,2.0,10.06,46.93,2.0,9.82,56.75,2.0,9.65,1:06.40,2.0,9.43,1:15.83,2.0,9.17,1:25.00,1.0,9.09,1:34.090,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-2015,ISU World Cup 2014/15 - Dresden (GER),1500m,1,m,Semifinals,1,2,6,,,176.0,KWAKYoon-Gy,6120,KOR,"
						2:25.974 
					",QA,,14.0,6.0,11.1,11.10,6.0,15.29,26.39,6.0,13.5,39.89,6.0,12.94,52.83,3.0,11.2,1:04.03,2.0,9.95,1:13.98,3.0,9.57,1:23.55,5.0,9.19,1:32.74,5.0,9.19,1:41.93,5.0,9.03,1:50.96,5.0,8.75,1:59.71,5.0,8.73,2:08.44,2.0,8.56,2:17.00,2.0,8.98,2:25.974,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-2015,ISU World Cup 2014/15 - Dresden (GER),1500m,1,m,Semifinals,1,7,5,,,120.0,FrancoisHAMELIN,6167,CAN,"
						2:27.034 
					",,,14.0,4.0,10.8,10.80,4.0,15.31,26.11,4.0,13.52,39.63,2.0,12.68,52.31,1.0,11.49,1:03.80,3.0,10.28,1:14.08,4.0,9.52,1:23.60,3.0,9.0,1:32.60,3.0,9.15,1:41.75,2.0,8.95,1:50.70,2.0,8.76,1:59.46,2.0,8.74,2:08.20,5.0,9.2,2:17.40,7.0,9.64,2:27.034,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-2014,"ISU World Cup 2013/2014, Kolomna (RUS)",500m,-1,w,Pre-Preliminaries,9,1,4,,,49.0,AriannaFONTANA,6227,ITA,"
						44.776 
					",Q,,5.0,1.0,7.43,7.43,1.0,9.49,16.92,1.0,9.13,26.05,1.0,9.27,35.32,1.0,9.46,44.776,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-2014,"ISU World Cup 2013/2014, Kolomna (RUS)",500m,-1,w,Preliminaries,7,2,2,,,49.0,AriannaFONTANA,6227,ITA,"
						43.959 
					",Q,,5.0,1.0,7.20,7.20,1.0,9.37,16.57,1.0,8.90,25.47,1.0,9.10,34.57,2.0,9.39,43.959,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-2015,ISU World Cup 2014/15 - Dresden (GER),1500m,1,w,Heats,1,1,6,,,44.0,AriannaFONTANA,6227,ITA,"
						2:32.511 
					",Q,,14.0,2.0,10.26,10.26,2.0,13.84,24.10,2.0,12.55,36.65,2.0,12.4,49.05,3.0,10.83,59.88,3.0,10.86,1:10.74,3.0,11.37,1:22.11,4.0,10.79,1:32.90,3.0,10.12,1:43.02,3.0,10.31,1:53.33,3.0,10.15,2:03.48,2.0,9.79,2:13.27,1.0,9.49,2:22.76,1.0,9.76,2:32.511,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-2014,"ISU World Cup 2013/2014, Torino (ITA)",1500m,-1,m,Heats,3,2,3,,,123.0,FrancoisHAMELIN,6167,CAN,"
						2:24.065 
					",Q,,14.0,3.0,10.40,10.40,4.0,13.80,24.20,5.0,11.97,36.17,4.0,11.23,47.40,4.0,10.87,58.27,4.0,10.21,1:08.48,4.0,9.98,1:18.46,1.0,9.48,1:27.94,1.0,9.59,1:37.53,1.0,9.27,1:46.80,1.0,9.38,1:56.18,1.0,9.32,2:05.50,2.0,9.25,2:14.75,2.0,9.32,2:24.065,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-2014,"ISU World Cup 2013/2014, Torino (ITA)",1500m,-1,m,Heats,6,1,2,,,197.0,KNEGTSjinkie,7352,NED,"
						2:17.791 
					",Q,,14.0,3.0,8.56,8.56,3.0,10.73,19.29,3.0,10.52,29.81,3.0,10.61,40.42,3.0,10.39,50.81,3.0,10.34,1:01.15,4.0,9.75,1:10.90,4.0,9.94,1:20.84,3.0,9.67,1:30.51,3.0,9.56,1:40.07,3.0,9.58,1:49.65,3.0,9.56,1:59.21,1.0,9.23,2:08.44,1.0,9.36,2:17.791,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-2014,"ISU World Cup 2013/2014, Torino (ITA)",1500m,-1,w,Preliminaries,5,1,5,,,46.0,AriannaFONTANA,6227,ITA,"
						2:38.887 
					",Q,,14.0,1.0,10.54,10.54,1.0,14.79,25.33,3.0,13.99,39.32,3.0,12.75,52.07,3.0,12.84,1:04.91,4.0,12.39,1:17.30,4.0,11.17,1:28.47,4.0,10.92,1:39.39,4.0,10.16,1:49.55,2.0,9.71,1:59.26,1.0,9.56,2:08.82,1.0,10.01,2:18.83,1.0,10.06,2:28.89,1.0,10.0,2:38.887,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-2014,"ISU World Cup 2013/2014, Torino (ITA)",1500m,-1,w,Heats,3,1,4,,,46.0,AriannaFONTANA,6227,ITA,"
						2:27.477 
					",Q,,14.0,4.0,9.52,9.52,4.0,12.22,21.74,4.0,11.44,33.18,4.0,11.31,44.49,4.0,12.08,56.57,4.0,11.68,1:08.25,4.0,11.1,1:19.35,4.0,10.08,1:29.43,4.0,9.79,1:39.22,1.0,9.69,1:48.91,1.0,9.69,1:58.60,1.0,9.64,2:08.24,1.0,9.52,2:17.76,1.0,9.72,2:27.477,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
